browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,link,age,sex,handedness,,,,,,,,,,,,,,,,,,,,,,
Chrome,95.0.4638.54,1440,900,MacOS,en-US,2022-01-25_23:06:37,2022-01-25_18:06:37,https://www.testable.org/experiment/7726/493033/start,19,female,right-handed,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rowNo,type,stim1,stim2,stim3,stim4,presTime,ISI,responseWindow,key,feedback,feedbackTime,feedbackOptions,stimFormat,random,keyboard,cursor,order,d,k,PracticeTrials,Hand,Structure,Condition,H,Magnitude,Numbers,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
25,test,Black,Fixation,Black,number7Mirror,400;400;400,0;0;0,lastStim,k,incorrect:Incorrect,400,center,.jpg,1,d k,hide,1.C-NC,Smaller5,Larger5,Yes,Right,MIRROR,Compatible,-1,Larger5,7,400;400;400,24;24;24,16.67,105864,k,1037,1
17,test,Black,Fixation,Black,number4Mirror,400;400;400,0;0;0,lastStim,d,incorrect:Incorrect,400,center,.jpg,1,d k,hide,1.C-NC,Smaller5,Larger5,Yes,Left,MIRROR,Compatible,1,Smaller5,4,400;400;400,24;24;24,16.67,107640,d,579,1
13,test,Black,Fixation,Black,number3Mirror,400;400;400,0;0;0,lastStim,d,incorrect:Incorrect,400,center,.jpg,1,d k,hide,1.C-NC,Smaller5,Larger5,Yes,Left,MIRROR,Compatible,1,Smaller5,3,400;400;400,24;24;24,16.67,109488,d,661,1
14,test,Black,Fixation,Black,number4,400;400;400,0;0;0,lastStim,d,incorrect:Incorrect,400,center,.jpg,1,d k,hide,1.C-NC,Smaller5,Larger5,Yes,Left,NORMAL,Compatible,1,Smaller5,4,400;400;400,24;24;24,16.67,111618,d,941,1
16,test,Black,Fixation,Black,number4Mirror,400;400;400,0;0;0,lastStim,d,incorrect:Incorrect,400,center,.jpg,1,d k,hide,1.C-NC,Smaller5,Larger5,Yes,Left,MIRROR,Compatible,1,Smaller5,4,400;400;400,24;24;24,16.67,113535,d,724,1
11,test,Black,Fixation,Black,number3,400;400;400,0;0;0,lastStim,d,incorrect:Incorrect,400,center,.jpg,1,d k,hide,1.C-NC,Smaller5,Larger5,Yes,Left,NORMAL,Compatible,1,Smaller5,3,400;400;400,24;24;24,16.67,115336,d,610,1
12,test,Black,Fixation,Black,number3Mirror,400;400;400,0;0;0,lastStim,d,incorrect:Incorrect,400,center,.jpg,1,d k,hide,1.C-NC,Smaller5,Larger5,Yes,Left,MIRROR,Compatible,1,Smaller5,3,400;400;400,24;24;24,16.67,117170,d,643,1
26,test,Black,Fixation,Black,number9,400;400;400,0;0;0,lastStim,k,incorrect:Incorrect,400,center,.jpg,1,d k,hide,1.C-NC,Smaller5,Larger5,Yes,Right,NORMAL,Compatible,-1,Larger5,9,400;400;400,24;24;24,16.67,118957,k,597,1
24,test,Black,Fixation,Black,number7Mirror,400;400;400,0;0;0,lastStim,k,incorrect:Incorrect,400,center,.jpg,1,d k,hide,1.C-NC,Smaller5,Larger5,Yes,Right,MIRROR,Compatible,-1,Larger5,7,400;400;400,24;24;24,16.67,120859,k,716,1
10,test,Black,Fixation,Black,number3,400;400;400,0;0;0,lastStim,d,incorrect:Incorrect,400,center,.jpg,1,d k,hide,1.C-NC,Smaller5,Larger5,Yes,Left,NORMAL,Compatible,1,Smaller5,3,400;400;400,24;24;24,16.67,122644,d,600,1
18,test,Black,Fixation,Black,number6,400;400;400,0;0;0,lastStim,k,incorrect:Incorrect,400,center,.jpg,1,d k,hide,1.C-NC,Smaller5,Larger5,Yes,Right,NORMAL,Compatible,-1,Larger5,6,400;400;400,24;24;24,16.67,124357,k,513,1
